step,UCB1-tuned,Tompson_sampling,RS,RS \gamma,RS opt \gamma
12601.0,0.506,0.633,0.852,0.856,0.887
12701.0,0.514,0.634,0.853,0.866,0.887
12801.0,0.51,0.634,0.847,0.864,0.89
12901.0,0.523,0.64,0.843,0.865,0.883
13001.0,0.513,0.635,0.847,0.851,0.882
13101.0,0.52,0.638,0.845,0.848,0.891
13201.0,0.509,0.633,0.838,0.85,0.891
13301.0,0.513,0.634,0.832,0.842,0.875
13401.0,0.493,0.628,0.839,0.856,0.895
13501.0,0.503,0.628,0.835,0.838,0.886
13601.0,0.515,0.626,0.834,0.843,0.893
13701.0,0.499,0.619,0.835,0.843,0.893
13801.0,0.501,0.619,0.839,0.852,0.893
13901.0,0.503,0.618,0.836,0.841,0.887
14001.0,0.504,0.608,0.837,0.847,0.886
14101.0,0.508,0.613,0.83,0.843,0.891
14201.0,0.503,0.617,0.837,0.84,0.884
14301.0,0.495,0.613,0.835,0.845,0.891
14401.0,0.497,0.614,0.834,0.852,0.883
14501.0,0.491,0.61,0.841,0.844,0.898
14601.0,0.492,0.613,0.844,0.848,0.896
14701.0,0.484,0.617,0.85,0.838,0.897
14801.0,0.488,0.613,0.841,0.84,0.895
14901.0,0.489,0.607,0.837,0.837,0.892
15001.0,0.477,0.608,0.84,0.85,0.89
15101.0,0.475,0.61,0.828,0.851,0.884
15201.0,0.489,0.598,0.824,0.844,0.887
15301.0,0.496,0.602,0.831,0.844,0.881
15401.0,0.498,0.603,0.832,0.84,0.893
15501.0,0.49,0.596,0.829,0.846,0.89
15601.0,0.489,0.6,0.824,0.845,0.894
15701.0,0.492,0.599,0.83,0.855,0.889
15801.0,0.492,0.594,0.825,0.856,0.891
15901.0,0.486,0.595,0.821,0.849,0.892
16001.0,0.488,0.589,0.815,0.853,0.887
16101.0,0.494,0.587,0.819,0.856,0.896
16201.0,0.494,0.579,0.811,0.855,0.891
16301.0,0.493,0.586,0.81,0.846,0.885
16401.0,0.495,0.586,0.81,0.847,0.88
16501.0,0.497,0.586,0.806,0.845,0.879
16601.0,0.489,0.584,0.816,0.844,0.888
16701.0,0.494,0.589,0.812,0.84,0.886
16801.0,0.471,0.586,0.81,0.849,0.896
16901.0,0.487,0.576,0.809,0.851,0.88
17001.0,0.485,0.574,0.812,0.854,0.864
17101.0,0.487,0.581,0.809,0.839,0.867
17201.0,0.482,0.587,0.812,0.841,0.872
17301.0,0.476,0.589,0.813,0.849,0.875
17401.0,0.475,0.591,0.802,0.832,0.875
17501.0,0.473,0.586,0.802,0.846,0.883
17601.0,0.482,0.585,0.804,0.848,0.875
17701.0,0.474,0.576,0.798,0.844,0.873
17801.0,0.476,0.581,0.797,0.846,0.878
17901.0,0.475,0.584,0.793,0.837,0.884
18001.0,0.479,0.573,0.786,0.84,0.891
18101.0,0.473,0.575,0.79,0.834,0.89
18201.0,0.484,0.569,0.794,0.825,0.882
18301.0,0.475,0.561,0.8,0.837,0.874
18401.0,0.48,0.554,0.801,0.83,0.88
