step,UCB1-tuned,Tompson_sampling,RS,RS \gamma,RS opt \gamma
12601.0,0.371,0.42,0.715,0.82,0.893
12701.0,0.384,0.431,0.728,0.817,0.906
12801.0,0.389,0.444,0.732,0.822,0.909
12901.0,0.381,0.461,0.742,0.827,0.91
13001.0,0.377,0.471,0.74,0.829,0.902
13101.0,0.388,0.47,0.751,0.825,0.919
13201.0,0.382,0.486,0.755,0.833,0.915
13301.0,0.385,0.502,0.765,0.841,0.909
13401.0,0.399,0.507,0.77,0.835,0.91
13501.0,0.403,0.519,0.775,0.844,0.909
13601.0,0.397,0.53,0.783,0.844,0.91
13701.0,0.4,0.534,0.786,0.846,0.911
13801.0,0.405,0.546,0.789,0.845,0.903
13901.0,0.399,0.55,0.801,0.841,0.908
14001.0,0.398,0.55,0.807,0.847,0.91
14101.0,0.407,0.562,0.812,0.847,0.918
14201.0,0.402,0.564,0.819,0.849,0.915
14301.0,0.413,0.576,0.818,0.846,0.914
14401.0,0.425,0.583,0.813,0.843,0.914
14501.0,0.412,0.582,0.818,0.85,0.914
14601.0,0.419,0.579,0.824,0.851,0.917
14701.0,0.422,0.594,0.833,0.845,0.909
14801.0,0.419,0.593,0.832,0.84,0.905
14901.0,0.424,0.601,0.835,0.845,0.916
15001.0,0.422,0.613,0.837,0.847,0.915
15101.0,0.42,0.615,0.84,0.849,0.917
15201.0,0.42,0.621,0.844,0.844,0.925
15301.0,0.426,0.616,0.848,0.853,0.927
15401.0,0.414,0.619,0.85,0.851,0.916
15501.0,0.42,0.632,0.849,0.854,0.927
15601.0,0.429,0.632,0.852,0.85,0.921
15701.0,0.433,0.636,0.85,0.845,0.921
15801.0,0.425,0.634,0.854,0.856,0.913
15901.0,0.435,0.631,0.854,0.852,0.915
16001.0,0.439,0.645,0.852,0.863,0.925
16101.0,0.427,0.646,0.856,0.863,0.916
16201.0,0.428,0.644,0.858,0.863,0.913
16301.0,0.436,0.654,0.857,0.864,0.908
16401.0,0.438,0.661,0.864,0.863,0.916
16501.0,0.444,0.656,0.859,0.871,0.914
16601.0,0.444,0.67,0.861,0.869,0.906
16701.0,0.446,0.668,0.864,0.876,0.901
16801.0,0.439,0.662,0.865,0.865,0.905
16901.0,0.442,0.668,0.871,0.868,0.905
17001.0,0.442,0.67,0.874,0.874,0.906
17101.0,0.445,0.665,0.876,0.87,0.905
17201.0,0.449,0.664,0.877,0.879,0.916
17301.0,0.447,0.679,0.876,0.875,0.914
17401.0,0.44,0.672,0.877,0.873,0.897
17501.0,0.446,0.675,0.875,0.877,0.895
17601.0,0.441,0.672,0.883,0.881,0.9
17701.0,0.451,0.676,0.885,0.876,0.894
17801.0,0.453,0.675,0.89,0.876,0.894
17901.0,0.451,0.683,0.888,0.876,0.906
18001.0,0.453,0.697,0.889,0.886,0.902
18101.0,0.457,0.682,0.889,0.885,0.902
18201.0,0.457,0.692,0.893,0.872,0.903
18301.0,0.455,0.694,0.891,0.875,0.899
18401.0,0.453,0.687,0.889,0.874,0.912
18501.0,0.461,0.696,0.896,0.884,0.912
18601.0,0.458,0.691,0.897,0.884,0.914
18701.0,0.462,0.699,0.899,0.882,0.911
18801.0,0.452,0.703,0.898,0.881,0.908
18901.0,0.459,0.7,0.897,0.879,0.9
19001.0,0.468,0.698,0.898,0.886,0.911
19101.0,0.468,0.707,0.899,0.889,0.912
19201.0,0.471,0.705,0.898,0.888,0.915
19301.0,0.471,0.709,0.901,0.89,0.915
19401.0,0.463,0.706,0.9,0.889,0.91
19501.0,0.476,0.706,0.897,0.882,0.904
19601.0,0.473,0.709,0.899,0.89,0.9
19701.0,0.47,0.709,0.899,0.898,0.916
19801.0,0.469,0.716,0.9,0.896,0.926
19901.0,0.465,0.72,0.9,0.89,0.923
20001.0,0.051,0.063,0.043,0.05,0.049
20101.0,0.162,0.068,0.206,0.353,0.326
20201.0,0.199,0.07,0.27,0.48,0.52
20301.0,0.22,0.072,0.294,0.523,0.609
20401.0,0.244,0.081,0.336,0.578,0.663
20501.0,0.25,0.082,0.366,0.61,0.711
20601.0,0.257,0.092,0.4,0.628,0.747
20701.0,0.268,0.092,0.424,0.647,0.773
20801.0,0.273,0.098,0.446,0.663,0.797
20901.0,0.287,0.105,0.469,0.69,0.818
21001.0,0.293,0.111,0.495,0.701,0.821
21101.0,0.298,0.124,0.52,0.712,0.845
21201.0,0.308,0.127,0.54,0.703,0.844
21301.0,0.306,0.137,0.555,0.718,0.847
21401.0,0.311,0.143,0.566,0.751,0.86
21501.0,0.317,0.152,0.577,0.736,0.862
21601.0,0.312,0.157,0.599,0.745,0.872
21701.0,0.326,0.171,0.604,0.752,0.874
21801.0,0.328,0.18,0.618,0.763,0.875
21901.0,0.332,0.19,0.628,0.77,0.879
22001.0,0.335,0.208,0.636,0.779,0.874
22101.0,0.334,0.218,0.639,0.779,0.889
22201.0,0.341,0.221,0.643,0.779,0.888
22301.0,0.329,0.239,0.657,0.779,0.882
